,<n_e>,<n_e> Err,Blob Size [rhos],Blob Size2 [rhos],Blob Size3 [rhos],Blob size Err [rhos],Blob size2 Err [rhos],Bt,Cs,Efold,EfoldErr,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vBin,vP,vP Err,vP2,vP3,vPExB,vPExB Err,vR,vR Err,vR2,vR3,Z,Mu,Conf
0,3.57025565258e+19,inf,28.5096638128,4.93683996755,14.1233969629,124.539985959,124.539985959,-1.42439997196,37369.6463563,,,243.303078125,891.882019043,0.246221426718,0.00471377520162,1.01682135473,0.00134467278329,,51080.0,8.86241201858e-06,2.51938652893e-06,,,749.055034443,3757.61248781,1252.53749594,223.978701813,0.0655963583906,9560.02440712,15536.7667199,2142.90956625,9313.76989959,714.784572972,-15.6997258753,1,2,LSN
1,3.56680384578e+19,inf,46.7311521147,2.88998802441,33.5420119942,137.583945301,137.583945301,-1.4243940115,39139.71789,,,243.32028125,888.318237305,0.290766517769,0.0237692722776,1.02715202382,0.00141314655435,,51080.0,1.41753285478e-05,2.6062967926e-06,,,288.104547631,3243.75095101,1691.5286466,86.1495163423,0.0759874071412,8352.38492437,13080.8053226,3343.82222629,9669.56464024,274.922700408,-15.6996321643,1,2,LSN
2,3.56376919369e+19,inf,10.7493425136,2.31164409663,3.94707975674,20.3951396088,20.3951396088,-1.4243773222,34669.3076161,,,243.338609375,888.639648438,0.277268052889,0.0244336587737,1.044430083,0.00125905598671,,51080.0,6.21679199067e-06,5.0470930183e-07,,,468.165790873,2024.93561843,383.793694729,139.990512671,0.121720009024,3152.12471099,4678.47634085,799.382438337,1507.71638446,446.74586076,-15.6990562133,1,2,LSN
3,3.56109100326e+19,inf,24.6008986936,4.54673197785,18.1952671099,39.5697298708,39.5697298708,-1.42436099052,33218.8579857,,,243.36765625,919.766418457,0.216417345172,0.00686026969316,1.05944644473,0.00121266346072,,51080.0,1.25131982906e-05,6.37253062993e-07,,,440.627216733,1604.55783793,92.6198961639,131.756129491,0.153603937574,4486.55394835,5878.67072105,1763.31701824,2832.98714409,420.467200228,-15.6984969918,1,2,LSN
4,3.55798466301e+19,inf,14.5869654482,3.58434891729,7.02097981953,24.4471151483,24.4471151483,-1.42434823513,37389.5499899,,,243.40153125,972.048828125,0.205855788316,0.000463276101598,1.07478729374,0.00137149203399,,51080.0,1.11566099424e-05,1.09254722169e-06,,,440.627216733,1571.81175961,98.2382349754,131.756129491,0.156803387644,1878.72505805,4039.02227878,863.095311575,1443.030572,420.467200228,-15.6984337226,1,2,LSN
5,5.32755604904e+19,inf,17.4414514154,4.97399595269,2.97198424728,452.208348728,452.208348728,-1.42528176308,46606.4812179,,,246.024578125,2021.89318848,4.69432576762,0.806025373696,1.00259603744,0.00167413749133,,51084.0,3.33453739924e-06,2.23928165201e-06,,,2497.24387797,-8628.59035291,1041.45899456,-746.831284761,-0.0285665559273,25818.4763892,53196.6539136,1492.11409422,38672.972289,2382.95405289,-15.6999456318,1,2,LSN
6,5.31764988908e+19,inf,21.3498372646,1.76413145942,9.81958605239,43.6837988432,43.6837988432,-1.42528510094,40669.7130829,,,246.002765625,2035.82775879,3.16347974694,0.222580762699,1.01915495355,0.00146762913619,,51084.0,9.33227250444e-06,1.47597257037e-06,,,277.434111434,2981.34806459,1666.70170848,82.9588672381,0.0826750464045,2326.70032883,4487.17684451,1544.26594041,3029.66026149,264.740462592,-15.6995622367,1,2,LSN
7,5.30853713671e+19,inf,21.569232327,1.59501126324,16.0300089316,51.8028951095,51.8028951095,-1.42529296875,35789.8188985,,,245.9735625,2074.16601562,1.89301243302,0.583507171963,1.03552733386,0.0012974889317,,51084.0,1.68527338976e-05,5.92470352245e-06,,,122.79962839,1111.08500843,523.77932959,36.7200508072,0.22180185781,3980.88643855,5501.53992691,1234.14746559,2873.82999777,117.18099932,-15.6968634762,1,2,LSN
8,5.29959854698e+19,inf,22.4179671152,0.484818472507,20.0359689311,50.0629964473,50.0629964473,-1.4252948761,31243.9946342,,,245.938640625,2128.70947266,0.763370173795,0.03167138299,1.04869582865,0.00113806573404,,51084.0,1.25218033022e-05,3.4588294358e-07,,,44.0635647655,913.966299918,1125.33168009,13.1761191193,0.269613017825,3781.80860703,5393.89724572,1821.00364368,3392.27759379,42.0474449259,-15.6953662312,1,2,LSN
9,5.2909480293e+19,inf,31.9239961512,5.86830529654,20.1280300346,75.1797786476,75.1797786476,-1.4252910614,29950.8739556,,,245.90525,2179.90185547,0.775983151576,0.0374763335948,1.06290365094,0.00109628982524,,51084.0,1.97534663079e-05,4.92705439897e-07,,,325.68275804,1375.20565359,237.22771866,97.3860393714,0.179215233744,4690.77909293,6697.5320023,1117.0775752,2623.45938762,310.78162465,-15.6979516038,1,2,LSN
