,bt1,bt2,en1,en2,ip1,ip2,shots,tmax1,tmax2,tmin1,tmin2
0,-1.42444694042,,3.58166264592,,-242.96134375,,51080,0.63373786211,,0.588736891747,
1,-1.42532670498,,5.39202921187,,-246.91028125,,51084,1.1347887516,,1.07718908787,
2,-1.42480635643,,3.60748907454,,-243.09771875,,51124,0.631937265396,,0.595037579536,
3,-1.4246404171,,4.20475940382,,-242.57940625,,51126,0.73098474741,,0.68373298645,
4,-1.42510426044,,4.1407031758,,-242.320109375,,51130,0.845829367638,,0.783294320107,
5,-1.42438602448,,3.70962952662,,-242.84690625,,51132,0.561316311359,,0.511369645596,
6,-1.42448878288,,3.88686508356,,-242.656375,,51133,0.661320090294,,0.610464155674,
7,-1.42508995533,,4.48008283287,,-243.249171875,,51138,0.911359131336,,0.86142295599,
8,-1.42461967468,,4.34777420065,,-243.299984375,,51139,0.832327127457,,0.776993155479,
9,-1.4252127409,,4.85669591191,,-246.709640625,,51141,1.04199337959,,0.986639201641,
10,-1.42545258999,,3.78580149317,,-162.71025,,51176,1.03417408466,,0.994570910931,
11,-1.42426562309,-1.42634618282,2.37435599767,7.06603302633,-243.049765625,-243.177359375,51358,0.591416656971,1.703358531,0.545516192913,1.62910568714
12,1.42379844189,1.42525279522,5.91084564816,13.92926773,338.32415625,338.33584375,52062,0.586753547192,1.34849691391,0.530004322529,1.2652490139
13,1.42426609993,1.4250305891,7.72713902159,12.811257039,338.75653125,338.470125,52065,0.741551816463,1.25679588318,0.676051735878,1.16379845142
14,-1.42431211472,-1.42531991005,4.41046527504,7.15286761684,-239.983015625,-241.686578125,52629,0.798749744892,1.23291039467,0.73333209753,1.14333212376
15,-1.42396652699,-1.42524349689,4.71993513721,7.16103127077,-239.441625,-240.866703125,52633,0.547574341297,1.24173748493,0.487575292587,1.16423952579
16,-1.42390394211,-1.42499649525,4.50630178715,5.85918839286,-238.76478125,-242.115859375,52644,0.543916285038,1.16474497318,0.489334315062,1.06433296204
17,-1.42488527298,-1.4252846241,5.46502710825,8.72937465663,-341.824625,-339.6605,52766,1.20423305035,1.52463388443,1.13381826878,1.41464567184
18,-1.42493236065,,6.97555905233,,-341.08840625,,52767,1.30076086521,,1.22743022442,
19,-1.42447566986,-1.42577695847,5.25945713667,5.79360252427,-240.28040625,-240.470828125,53514,0.759465634823,1.57745695114,0.679463088512,1.46445798874
20,-1.42444074154,-1.42577600479,3.80490704702,7.01825308884,-246.796578125,-250.934703125,53518,0.747190833092,1.56468343735,0.68268930912,1.46318173409
21,-1.42533016205,-1.42598438263,5.54224712928,8.60489498701,-252.17796875,-249.5043125,53520,1.24494421482,1.81793797016,1.17694437504,1.71543681622
22,-1.42425739765,-1.42570257187,3.71302437872,6.80782019723,-251.0444375,-250.780265625,53564,0.736724555492,1.55271792412,0.68372386694,1.46871972084
23,-1.42548537254,-1.42598676682,5.38101078595,8.09936153079,-250.9029375,-250.453828125,53565,1.24234926701,1.80884730816,1.18285298347,1.7198433876
24,-1.42422747612,,5.38143387802,,-240.2366875,,53569,0.643931627274,,0.590431571007,
25,-1.42424213886,-1.42494571209,5.4667146387,5.55838488135,-239.89509375,-243.31903125,53571,0.638833165169,1.11682868004,0.586333572865,1.02082967758
26,-1.42430639267,-1.42578220367,3.69696579149,7.36087762463,-246.581140625,-250.220796875,53575,0.59257799387,1.5555729866,0.529078423977,1.46657395363
27,-1.42518877983,-1.42536330223,5.37489662169,10.6730103882,-245.33553125,-229.485015625,53579,1.03958630562,1.3795787096,0.987585186958,1.32058274746
28,-1.42483007908,-1.4254308939,5.29565569828,11.0829681364,-245.263453125,-222.534125,53582,1.03969395161,1.39819097519,0.975192010403,1.31818664074
29,-1.42418467999,-1.42538559437,3.35955184131,6.06414923501,-245.75953125,-245.673875,54867,0.648990690708,1.36798393726,0.589989364147,1.27598845959
30,-1.42480456829,-1.42566049099,4.48410792504,7.17280352187,-245.86303125,-245.707390625,54868,0.946150064468,1.54064369202,0.885649681091,1.43864369392
31,-1.42462050915,-1.42566716671,4.29026886291,7.0251144812,-246.980328125,-245.860296875,54869,0.944123327732,1.535120368,0.882123827934,1.43511652946
32,-1.42408216,-1.42559123039,3.63469824899,7.96520703846,-246.036453125,-245.715453125,54870,0.646217644215,1.51720917225,0.576217293739,1.41621148586
33,1.4240398407,1.42518734932,3.63745912269,6.78828055619,240.739140625,240.691171875,54873,0.649595379829,1.52058875561,0.57759398222,1.41909146309
34,1.42377591133,1.42527377605,3.6595302793,7.06029269602,240.977453125,240.9241875,54874,0.643547177315,1.51653897762,0.575548529625,1.4165418148
35,1.42398273945,1.42514407635,3.67855864743,6.44864801144,240.998578125,241.1355,54876,0.651520550251,1.41551482677,0.579520940781,1.3120187521
36,1.4226667881,1.42365312576,10.6611136723,13.0159887429,336.308375,336.3765,57082,1.01977992058,1.37727117538,0.960759878159,1.36526727676
37,,,,,,,57086,,,,
38,,,,,,,57087,,,,
39,1.42177963257,1.42292249203,5.18553169228,7.9020554886,240.703859375,240.7865625,57088,0.519615888596,1.01960778236,0.462616711855,0.964115202427
40,1.42198324203,,5.35571454183,,185.997671875,,57089,0.519518911839,,0.458517313004,
41,1.42226231098,,2.6013105908,,240.830046875,,57418,0.635745942593,,0.613244354725,
42,1.42226886749,1.42332649231,2.42841722519,7.97224215365,240.925421875,240.55253125,57425,0.569884061813,1.31989395618,0.513884305954,1.26588702202
43,1.4223947525,1.42350649834,2.34845084401,8.47040008587,186.299828125,167.42959375,57437,0.669684648514,1.31967067719,0.610680878162,1.26766741276
44,,,,,,,57450,,,,
45,1.05427777767,1.05452680588,2.49325212734,9.81202417409,241.391515625,240.967515625,57454,0.6695484519,1.31954312325,0.620544612408,1.26954758167
46,0.816580533981,,2.61552155869,,186.747203125,,57459,0.641142070293,,0.620139241219,
47,0.816380262375,0.816480875015,2.54748026072,7.00212501248,187.127734375,186.483484375,57461,0.642560303211,1.10256755352,0.621056258678,1.08305108547
48,1.42235541344,1.42360675335,3.90434292039,9.268849597,335.76796875,335.68803125,57497,0.669233679771,1.31972813606,0.614739179611,1.26972973347
49,1.42180240154,1.42278599739,1.87424159446,1.89685964815,241.3069375,242.53565625,58608,0.916453242302,1.2994273901,0.870439350605,1.27943456173
50,1.42207872868,1.42256832123,1.82918767614,1.91276848189,240.8874375,240.858640625,58610,0.919935941696,1.31992268562,0.875442385674,1.27841818333
51,-1.42158973217,,3.18098301657,,-191.475171875,,58611,0.71963083744,,0.674624145031,
52,-1.42210185528,-1.42369353771,5.50384250754,11.1648632809,-330.30846875,-328.96528125,58614,0.719626009464,1.38312470913,0.667132437229,1.36861801147
53,-1.42199468613,-1.42272543907,3.54266054955,9.57329557064,-192.151796875,-190.718015625,58623,0.685685753822,1.3196721077,0.666177034378,1.26618182659
54,-1.42177057266,-1.42293190956,5.29356882521,11.1968397179,-330.05646875,-329.17590625,58624,0.679668486118,1.39365804195,0.651661455631,1.36666023731
55,-1.42162847519,-1.42276096344,2.33996921131,8.12462742839,-190.608640625,-190.5448125,58629,0.569990098476,1.22000098228,0.510487377644,1.16147124767
56,-1.42147386074,,4.67420996704,,-245.89515625,,58635,0.590939223766,,0.563436388969,
57,1.05371928215,1.05449068546,2.52798086181,8.93060551553,241.196609375,240.68340625,58637,0.630741894245,1.2341953516,0.607734501362,1.22123134136
58,1.05425596237,,9.35679557386,,213.283671875,,58639,1.23819553852,,1.19719588757,
